idListaCobro,idCredito,consecutivoCobro,idBanco,montoExigible,montoCobrar,montoCobrado,fechaCobroBanco,idRespuestaBanco
155938,738973,41396434,2,622.87,622.87,0.0,,4.0
155938,739017,41396435,2,1069.11,1069.11,0.0,,4.0
155939,739185,41396436,2,4340.83,4340.83,4340.83,02/01/2025,0.0
155940,732324,41396437,2,2134.21,2134.21,0.0,,4.0
155940,737028,41396438,2,815.76,815.76,0.0,,4.0
155940,737543,41396439,2,1214.56,1214.56,0.0,,4.0
155941,71507,41396440,2,179.85,179.85,0.0,,4.0
155941,279267,41396443,2,163.4,163.4,0.0,,4.0
155941,329377,41396446,2,517.68,517.68,0.0,,4.0
155941,372875,41396449,2,514.51,514.51,0.0,,4.0
155941,380168,41396451,2,155.3,155.3,0.0,,4.0
155941,381534,41396454,2,237.37,237.37,0.0,,4.0
155941,388636,41396457,2,429.71,429.71,0.0,,4.0
155941,407768,41396460,2,375.61,375.61,0.0,,4.0
155941,408684,41396463,2,193.28,193.28,0.0,,4.0
155941,422505,41396466,2,258.23,258.23,0.0,,4.0
155941,435123,41396469,2,257.99,257.99,0.0,,4.0
155941,449374,41396472,2,146.33,146.33,0.0,,4.0
155941,452638,41396475,2,225.37,225.37,0.0,,4.0
155941,491831,41396478,2,661.04,661.04,0.0,,4.0
155941,496490,41396481,2,92.31,92.31,0.0,,4.0
155941,496814,41396483,2,239.1,239.1,0.0,,4.0
155941,529665,41396486,2,756.66,756.66,0.0,,4.0
155941,681515,41396489,2,352.13,352.13,0.0,,4.0
155941,682332,41396492,2,586.89,586.89,0.0,,4.0
155941,693003,41396495,2,453.86,453.86,0.0,,4.0
155941,695659,41396498,2,483.77,483.77,0.0,,4.0
155941,696516,41396501,2,864.49,864.49,0.0,,4.0
155941,706120,41396504,2,672.26,672.26,0.0,,4.0
155941,709523,41396507,2,1427.49,1427.49,0.0,,4.0
155941,709526,41396510,2,864.49,864.49,0.0,,4.0
155941,710906,41396513,2,1317.81,1317.81,0.0,,4.0
155941,712414,41396516,2,301.49,301.49,0.0,,4.0
155941,712906,41396519,2,881.84,881.84,0.0,,4.0
155941,714426,41396522,2,526.25,526.25,0.0,,4.0
155941,716370,41396525,2,215.62,215.62,0.0,,4.0
155941,725225,41396528,2,607.37,607.37,0.0,,4.0
155942,459611,41396531,2,160.64,160.64,0.0,,4.0
155942,470886,41396534,2,313.01,313.01,0.0,,4.0
155947,739598,41397720,12,1782.9,1782.9,1782.9,02/01/2025,0.0
155948,293867,41397752,2,154.7,154.7,0.0,,4.0
155948,295335,41397747,2,394.96,394.96,0.0,,4.0
155948,488742,41397726,2,893.83,893.83,0.0,,4.0
155948,492940,41397745,2,1101.74,1101.74,0.0,,4.0
155948,661081,41397731,2,391.26,391.26,0.0,,4.0
155948,692869,41397728,2,1021.18,1021.18,0.0,,4.0
155948,729232,41397750,2,1074.89,1074.89,0.0,,4.0
155949,490364,41397756,72,223.46,223.46,0.0,,4.0
155949,664252,41397758,72,701.17,701.17,0.0,,4.0
155949,709872,41397759,72,1583.75,1583.75,0.0,,4.0
155949,712926,41397757,72,1203.89,1203.89,0.0,,4.0
155950,83373,41397840,12,508.31,508.31,0.0,,4.0
155950,127335,41397855,12,706.66,706.66,0.0,,4.0
155950,155407,41397788,12,519.5,519.5,0.0,,4.0
155950,163958,41397780,12,542.32,542.32,0.0,,4.0
155950,290264,41397795,12,854.2,854.2,0.0,,4.0
155950,297989,41397828,12,1017.71,1017.71,0.0,,4.0
155950,298473,41397830,12,647.1,647.1,0.0,,4.0
155950,299455,41397771,12,272.0,272.0,0.0,,4.0
155950,312623,41397844,12,480.37,480.37,0.0,,4.0
155950,320656,41397841,12,468.15,468.15,0.0,,4.0
155950,322747,41397772,12,305.32,305.32,0.0,,4.0
155950,338312,41397767,12,651.34,651.34,0.0,,4.0
155950,350670,41397760,12,346.02,346.02,0.0,,4.0
155950,363258,41397791,12,926.12,926.12,0.0,,4.0
155950,365615,41397811,12,356.51,356.51,0.0,,4.0
155950,365744,41397856,12,299.66,299.66,0.0,,4.0
155950,366690,41397796,12,812.76,812.76,0.0,,4.0
155950,370135,41397829,12,738.86,738.86,0.0,,4.0
155950,374655,41397827,12,542.32,542.32,0.0,,4.0
155950,380722,41397778,12,101.77,101.77,0.0,,4.0
155950,381742,41397831,12,834.52,834.52,0.0,,4.0
155950,382561,41397775,12,380.1,380.1,0.0,,4.0
155950,385597,41397835,12,339.92,339.92,0.0,,4.0
155950,385816,41397781,12,489.25,489.25,0.0,,4.0
155950,388476,41397836,12,799.98,799.98,0.0,,4.0
155950,389064,41397824,12,811.59,811.59,0.0,,4.0
155950,390185,41397857,12,293.55,293.55,0.0,,4.0
155950,390575,41397818,12,460.87,460.87,0.0,,4.0
155950,391310,41397792,12,707.63,707.63,0.0,,4.0
155950,395042,41397845,12,478.2,478.2,0.0,,4.0
155950,396264,41397803,12,533.0,533.0,0.0,,4.0
155950,396719,41397812,12,293.55,293.55,0.0,,4.0
155950,400106,41397846,12,176.07,176.07,0.0,,4.0
155950,401392,41397797,12,782.1,782.1,0.0,,4.0
155950,403501,41397798,12,243.39,243.39,0.0,,4.0
155950,405159,41397822,12,450.91,450.91,0.0,,4.0
155950,406874,41397847,12,803.17,803.17,0.0,,4.0
155950,412720,41397785,12,243.39,243.39,0.0,,4.0
155950,412846,41397815,12,164.51,164.51,0.0,,4.0
155950,413210,41397804,12,363.29,363.29,0.0,,4.0
155950,414686,41397819,12,858.34,858.34,0.0,,4.0
155950,420547,41397789,12,608.46,608.46,0.0,,4.0
155950,421742,41397776,12,203.26,203.26,0.0,,4.0
155950,422024,41397782,12,189.36,189.36,0.0,,4.0
155950,422028,41397761,12,157.17,157.17,0.0,,4.0
155950,422217,41397858,12,391.26,391.26,0.0,,4.0
155950,422239,41397762,12,181.53,181.53,0.0,,4.0
155950,422904,41397837,12,391.26,391.26,0.0,,4.0
155950,424848,41397809,12,1369.42,1369.42,0.0,,4.0
155950,426467,41397805,12,243.39,243.39,0.0,,4.0
155950,427132,41397773,12,608.46,608.46,0.0,,4.0
155950,428221,41397799,12,690.99,690.99,0.0,,4.0
155950,429718,41397843,12,1021.12,1021.12,0.0,,4.0
155950,430220,41397860,12,459.5,459.5,0.0,,4.0
155950,434005,41397763,12,324.75,324.75,0.0,,4.0
155950,465169,41397823,12,391.26,391.26,0.0,,4.0
155950,466231,41397794,12,326.14,326.14,0.0,,4.0
